"","Group","Age","Sex","Direction","North","West","Looking"
"011","2","Young Adult","Male",42,96.96,90.32,283
"014","2","Young Adult","Male",28,100.2,90.61,272
"015","2","Old Adult","Male",350,101.74,91.62,219
"016a","2","Young Adult","Male",335,101,90.47,60
"018","2","Old Adult","Male",3,101.65,90.46,86
"020","1","Young Adult","Male",142,95.17,90.53,21
"027","2","Old Adult","Male",328,101.5,93.34,244
"034","2","Young Adult","Male",351,104.42,107.83,214
"041","2","Young Adult","Male",357,104.12,109.34,91
"043a","1","Middle Adult","Female",144,102.4,107.4,53
"052","2","Young Adult","Female",54,94.23,102.65,252
"061","2","Middle Adult","Female",27,84.99,102.47,215
"069","2","Old Adult","Female",54,91.68,102.9,319
"071","2","Adolescent","Male",64,91.65,106.07,335
"076","2","Child","Male",17,97.24,88.54,275
"078","2","Young Adult","Female",83,91.58,104.88,8
"079","2","Middle Adult","Female",58,83.44,104.7,180
"089","2","Middle Adult","Male",41,103.44,88.6,271
"090","2","Young Adult","Male",355,103.02,89.11,71
"099a","2","Middle Adult","Male",20,102.51,95.78,126
"100","2","Old Adult","Female",46,103.49,92.5,139
"104","2","Adult","Female",44,103.26,100,150
"105","2","Old Adult","Female",48,100.64,87.97,292
"112","2","Adult","Female",2,103.55,95.96,245
"115","2","Middle Adult","Female",9,103.83,94.25,116
"124","2","Young Adult","Female",45,102.09,96.87,140
"127","1","Young Adult","Female",144,100.39,89.2,21
"131","1","Middle Adult","Female",121,103.1,91.42,20
"143","1","Adolescent","Female",138,103.37,93.88,245
"144","1","Young Adult","Female",121,100.28,93.59,26
"151","1","Old Adult","Male",36,102.83,86.35,176
"155","1","Young Adult","Female",183,100.03,97.37,290
"156","2","Old Adult","Male",35,94.31,93.75,135
"164","2","Young Adult","Male",14,94.35,89.16,193
"165","2","Child","Male",10,107.49,94.58,148
"166","2","Young Adult","Male",28,104.72,92.99,264
"174","2","Adult","Female",97,107.38,90.96,356
"175","2","Old Adult","Male",58,105.86,92.57,110
"178","2","Middle Adult","Male",23,110.29,95.35,234
"185","2","Young Adult","Female",288,106.85,101.38,163
"188","2","Old Adult","Male",26,104.92,90.89,246
"195","2","Young Adult","Female",331,106.16,90.84,76
"197","2","Adolescent","Female",28,106.28,89.09,313
"206","1","Middle Adult","Male",151,105.2,93.9,49
"207","2","Young Adult","Female",1,110.16,92.28,238
"215","1","Old Adult","Male",142,98.14,97.8,35
"216","1","Middle Adult","Male",140,105.18,90.16,226
"217","2","Young Adult","Female",13,106.52,91.07,282
"222a","1","Old Adult","Female",161,115.8,97.22,73
